⺀	〔※󰁦※󰄼※󰄼※※☯※uyy※〕
𧔆	〔※󰃐※󰁴※󰄮※󰃍※☯※lxxj※〕
𧔇	〔※󰃍※󰃘※󰂢※󰀭※☯※jmdj※〕
𧔈	〔※󰄕※󰄦※󰃕※󰃍※☯※uwlj※〕
𧔉	〔※󰃍※󰄩※󰃽※󰄅※☯※jxrs※〕
𧔊	〔※󰃍※󰃫※󰃋※󰂮※☯※jojf※〕
𧔋	〔※󰃍※󰃫※󰂯※󰂳※☯※joff※〕
𧔌	〔※󰃍※󰄌※󰃷※󰃃※☯※jtqi※〕
𧔍	〔※󰃍※󰃘※󰄥※󰂁※☯※jmwn※〕
𧔎	〔※󰃍※󰁢※󰃨※󰃋※☯※jqoj※〕
𧔏	〔※󰄖※󰄬※󰂺※󰃍※☯※axhj※〕
𧔐	〔※󰄖※󰃒※󰄄※󰃍※☯※alrj※〕
𧔑	〔※󰄕※󰀓※󰃍※󰃍※☯※uejj※〕
𧔒	〔※󰃍※󰂱※󰂇※󰄃※☯※jfan※〕
𧔓	〔※󰁽※󰄩※󰃅※󰃍※☯※gxij※〕
𧔔	〔※󰄐※󰃍※󰃍※󰃍※☯※tjjj※〕
𧔕	〔※󰃍※󰄖※󰃫※󰄅※☯※jaos※〕
𧔖	〔※󰃍※󰂮※󰃔※󰃛※☯※jflm※〕
𧔗	〔※󰄋※󰃍※󰄋※󰃍※☯※tjtj※〕
𧔘	〔※󰃍※󰃔※󰂮※󰀔※☯※jlfe※〕
𧔙	〔※󰃍※󰃊※󰁺※󰃄※☯※jjai※〕
𧔚	〔※󰃍※󰃰※󰄦※󰄬※☯※jpwx※〕
𧔛	〔※󰃍※󰅄※󰂶※󰂏※☯※jwgb※〕
𧔜	〔※󰃍※󰃗※󰄀※󰃋※☯※jlrj※〕
𧔝	〔※󰃍※󰂡※󰄌※󰂾※☯※jdth※〕
𧔞	〔※󰂡※󰃽※󰃅※󰃍※☯※drij※〕
𧔟	〔※󰃍※󰄒※󰂹※󰃨※☯※jugo※〕
𧔠	〔※󰃍※󰀭※󰂶※󰁔※☯※jjgn※〕
𧔡	〔※󰃡※󰁺※󰀖※󰃍※☯※naej※〕
𧔢	〔※󰃶※󰂇※󰂇※󰃍※☯※qaaj※〕
𧔣	〔※󰃍※󰄅※󰃏※󰃛※☯※jskm※〕
𧔤	〔※󰀣※󰃅※󰄋※󰃍※☯※hitj※〕
𧔥	〔※󰃍※󰃏※󰂺※󰃮※☯※jkhp※〕
𧔦	〔※󰃍※󰂊※󰃏※󰃨※☯※jako※〕
𧔧	〔※󰄐※󰂅※󰃮※󰃍※☯※tgpj※〕
𧔨	〔※󰄬※󰂺※󰃍※󰃍※☯※xhjj※〕
𧔩	〔※󰄖※󰄬※󰂺※󰃍※☯※axhj※〕
𧔪	〔※󰂾※󰀤※󰂢※󰃍※☯※hhdj※〕
𧔫	〔※󰃍※󰁸※󰃋※󰂰※☯※jyjf※〕
𧔬	〔※󰃍※󰂶※󰃏※󰄅※☯※jgks※〕
𧔭	〔※󰄒※󰄇※󰄤※󰃍※☯※uswj※〕
𧔮	〔※󰃘※󰂶※󰃏※󰃍※☯※mgkj※〕
𧔯	〔※󰁴※󰄮※󰃍※󰃍※☯※xxjj※〕
𧔰	〔※󰄥※󰁷※󰃜※󰃍※☯※wymj※〕
𧔱	〔※󰂪※󰃒※󰄄※󰃍※☯※elrj※〕
𧔲	〔※󰃱※󰃋※󰄘※󰃍※☯※pjuj※〕
𧔳	〔※󰁚※󰄼※󰄠※󰃍※☯※qyvj※〕
𧔴	〔※󰄖※󰃍※󰃍※󰃍※☯※ajjj※〕
𧔵	〔※󰂵※󰃕※󰃍※󰃍※☯※fljj※〕
𧔶	〔※󰄋※󰁪※󰃩※󰃍※☯※tuoj※〕
𧔷	〔※󰃍※󰃊※󰄥※󰃮※☯※jjwp※〕
𧔸	〔※󰃍※󰃧※󰂶※󰃏※☯※jngk※〕
𧔹	〔※󰃍※󰂡※󰃊※󰂮※☯※jdjf※〕
𧔺	〔※󰃏※󰅅※󰃋※󰃍※☯※kajj※〕
𧔻	〔※󰁴※󰄮※󰃍※󰃍※☯※xxjj※〕
𧔼	〔※󰃍※󰃍※󰃍※󰂇※☯※jjja※〕
𧔽	〔※󰃍※󰄋※󰃧※󰂺※☯※jtnh※〕
𧔾	〔※󰃍※󰄌※󰃺※󰃛※☯※jtqm※〕
𧔿	〔※󰃍※󰀼※󰂮※󰁷※☯※jmfy※〕
𧕀	〔※󰃍※󰃡※󰃏※󰂮※☯※jnkf※〕
𧕁	〔※󰃍※󰂶※󰃏※󰀀※☯※jgka※〕
𧕂	〔※󰃍※󰄞※󰂇※󰂶※☯※jvag※〕
𧕃	〔※󰃍※󰃸※󰃏※󰄼※☯※jqky※〕
𧕄	〔※󰃍※󰃫※󰄥※󰃢※☯※jown※〕
𧕅	〔※󰃍※󰀙※󰃏※󰃏※☯※jfkk※〕
𧕆	〔※󰃍※󰃀※󰂶※󰂇※☯※jhga※〕
𧕇	〔※󰃍※󰁢※󰃨※󰄜※☯※jqou※〕
𧕈	〔※󰃡※󰂭※󰃅※󰃍※☯※nfij※〕
𧕉	〔※󰃍※󰂦※󰄩※󰃏※☯※jexk※〕
𧕊	〔※󰃍※󰄳※󰃩※󰂘※☯※jyoc※〕
𧕋	〔※󰃍※󰄤※󰂶※󰄖※☯※jwga※〕
𧕌	〔※󰃐※󰄐※󰃏※󰃍※☯※ltkj※〕
𧕍	〔※󰃍※󰃩※󰃩※󰃏※☯※jook※〕
𧕎	〔※󰃁※󰂋※󰁃※󰃍※☯※ianj※〕
𧕏	〔※󰄖※󰄋※󰃧※󰃍※☯※atnj※〕
𧕐	〔※󰂶※󰀿※󰁺※󰃍※☯※gmaj※〕
𧕑	〔※󰁻※󰃦※󰂻※󰃍※☯※cnhj※〕
𧕒	〔※󰄬※󰀯※󰃍※󰃍※☯※xjjj※〕
𧕓	〔※󰃍※󰂾※󰄮※󰄱※☯※jhxx※〕
𧕔	〔※󰁸※󰃜※󰃏※󰃍※☯※ymkj※〕
𧕕	〔※󰄶※󰄃※󰃍※󰃍※☯※ynjj※〕
𧕖	〔※󰃍※󰀙※󰁃※󰂘※☯※jfnc※〕
𧕗	〔※󰃍※󰄚※󰄅※󰀺※☯※jusl※〕
𧕘	〔※󰃍※󰃏※󰃍※󰁷※☯※jkjy※〕
𧕙	〔※󰄤※󰂶※󰃏※󰃍※☯※wgkj※〕
𧕚	〔※󰃍※󰀴※󰀯※󰃅※☯※jyji※〕
𧕛	〔※󰃏※󰃏※󰃐※󰃍※☯※kklj※〕
𧕜	〔※󰂭※󰃺※󰂭※󰃍※☯※fqfj※〕
𧕝	〔※󰃰※󰃢※󰃔※󰃍※☯※pnlj※〕
𧕞	〔※󰄌※󰄟※󰃽※󰃍※☯※tvrj※〕
𧕟	〔※󰃍※󰄥※󰁷※󰂘※☯※jwyc※〕
𧕠	〔※󰄋※󰃕※󰃈※󰃍※☯※tlij※〕
𧕡	〔※󰃍※󰄈※󰄎※󰄐※☯※jstt※〕
𧕢	〔※󰄓※󰃏※󰂺※󰃍※☯※ukhj※〕
𧕣	〔※󰄥※󰁷※󰂺※󰃍※☯※wyhj※〕
𧕤	〔※󰂩※󰄖※󰃋※󰃍※☯※eajj※〕
𧕦	〔※󰃏※󰃏※󰃋※󰃍※☯※kkjj※〕
𧕧	〔※󰂪※󰃒※󰄄※󰃍※☯※elrj※〕
𧕨	〔※󰃍※󰄖※󰂇※󰂺※☯※jaah※〕
𧕩	〔※󰃍※󰂐※󰂐※󰂐※☯※jbbb※〕
𧕪	〔※󰃍※󰂋※󰁿※󰂶※☯※jatg※〕
𧕫	〔※󰃍※󰃐※󰃐※󰂮※☯※jllf※〕
𧕬	〔※󰃍※󰃲※󰀿※󰄕※☯※jpmu※〕
𧕭	〔※󰃍※󰄖※󰂋※󰃕※☯※jaal※〕
𧕮	〔※󰃍※󰄶※󰄄※󰁷※☯※jyry※〕
𧕯	〔※󰃍※󰂶※󰀿※󰄮※☯※jgmx※〕
𧕰	〔※󰂶※󰃏※󰂺※󰃍※☯※gkhj※〕
𧕱	〔※󰁆※󰄞※󰃱※󰃍※☯※nvpj※〕
𧕲	〔※󰄥※󰁷※󰂺※󰃍※☯※wyhj※〕
𧕳	〔※󰃍※󰄹※󰂧※󰄼※☯※jyey※〕
𧕴	〔※󰂊※󰃏※󰂹※󰃍※☯※akgj※〕
𧕵	〔※󰄱※󰃍※󰃍※󰁧※☯※xjju※〕
𧕶	〔※󰄒※󰂷※󰄋※󰃍※☯※ugtj※〕
𧕷	〔※󰄖※󰂜※󰄤※󰃍※☯※adwj※〕
𧕸	〔※󰀋※󰃨※󰃽※󰃍※☯※corj※〕
𧕹	〔※󰂇※󰂜※󰄤※󰃍※☯※adwj※〕
𧕺	〔※󰃍※󰄥※󰁷※󰄼※☯※jwyy※〕
𧕻	〔※󰃍※󰃫※󰄓※󰂜※☯※joud※〕
𧕼	〔※󰂾※󰂤※󰂶※󰃍※☯※hdgj※〕
𧕽	〔※󰀄※󰁜※󰀄※󰃍※☯※aqaj※〕
𧕾	〔※󰂱※󰂇※󰄥※󰃍※☯※fawj※〕
𧕿	〔※󰂺※󰂜※󰂺※󰃍※☯※hdhj※〕
𧖀	〔※󰄩※󰄩※󰂶※󰃍※☯※xxgj※〕
𧖁	〔※󰄶※󰀭※󰂭※󰃍※☯※yjfj※〕
𧖂	〔※󰃜※󰂺※󰃍※󰃕※☯※mhjl※〕
𧖃	〔※󰃍※󰃀※󰂶※󰂣※☯※jhgd※〕
𧖄	〔※󰂡※󰄖※󰃋※󰃍※☯※dajj※〕
𧖅	〔※󰃱※󰂼※󰁕※󰃍※☯※phnj※〕
𧖆	〔※󰃍※󰄚※󰂮※󰃮※☯※jufp※〕
𧖇	〔※󰃫※󰄞※󰃏※󰃍※☯※ovkj※〕
𧖈	〔※󰃐※󰁴※󰄮※󰃍※☯※lxxj※〕
𧖉	〔※󰃡※󰂆※󰂆※󰃍※☯※naaj※〕
𧖊	〔※󰀴※󰀳※󰃍※󰃍※☯※yjjj※〕
𧖋	〔※󰃍※󰀥※󰃒※󰂻※☯※jhlh※〕
𧖌	〔※󰃍※󰃍※󰂠※󰂠※☯※jjdd※〕
𧖍	〔※󰄋※󰃍※󰂧※󰃨※☯※tjeo※〕
𧖎	〔※󰃐※󰁴※󰄮※󰃍※☯※lxxj※〕
𧖏	〔※󰃡※󰂆※󰂆※󰃍※☯※naaj※〕
𧖐	〔※󰃍※󰂋※󰂺※󰃺※☯※jahq※〕
𧖑	〔※󰄬※󰂶※󰃐※󰃍※☯※xglj※〕
𧖒	〔※󰃍※󰂶※󰃏※󰀔※☯※jgke※〕
𧖓	〔※󰂶※󰃏※󰃜※󰃍※☯※gkmj※〕
𧖔	〔※󰂭※󰄚※󰃍※󰃍※☯※fujj※〕
𧖕	〔※󰄋※󰃒※󰄄※󰃍※☯※tlrj※〕
𧖖	〔※󰃍※󰄳※󰄫※󰃘※☯※jyxm※〕
𧖗	〔※󰃍※󰄶※󰃏※󰀔※☯※jyke※〕
𧖘	〔※󰃍※󰄳※󰄫※󰃾※☯※jyxr※〕
𧖙	〔※󰃋※󰄩※󰄩※󰃍※☯※jxxj※〕
𧖚	〔※󰂶※󰃏※󰂺※󰃍※☯※gkhj※〕
𧖛	〔※󰀄※󰁜※󰀄※󰄮※☯※aqax※〕
𧖜	〔※󰃍※󰀙※󰃏※󰄤※☯※jfkw※〕
𧖝	〔※󰄥※󰁷※󰃨※󰃍※☯※wyoj※〕
𧖞	〔※󰁢※󰃨※󰄶※󰃍※☯※qoyj※〕
𧖟	〔※󰄋※󰂮※󰃺※󰃍※☯※tfqj※〕
𧖠	〔※󰂾※󰂤※󰂶※󰃍※☯※hdgj※〕
𧖡	〔※󰄖※󰂱※󰂇※󰃍※☯※afaj※〕
𧖢	〔※󰂾※󰂤※󰂶※󰃍※☯※hdgj※〕
𧖣	〔※󰃍※󰄳※󰄫※󰃍※☯※jyxj※〕
𧖤	〔※󰄅※󰃋※󰄅※󰃍※☯※sjsj※〕
𧖥	〔※󰀗※󰀿※󰂶※󰃍※☯※emgj※〕
𧖦	〔※󰁿※󰄭※󰄳※󰃍※☯※txyj※〕
𧖧	〔※󰄋※󰃕※󰄆※󰀬※☯※tlsj※〕
𧖨	〔※󰄋※󰃕※󰂶※󰁔※☯※tlgn※〕
𧖩	〔※󰄋※󰃕※󰂫※󰁥※☯※tlet※〕
𧖪	〔※󰄋※󰃕※󰃹※󰁧※☯※tlqu※〕
𧖫	〔※󰄋※󰃕※󰁄※󰄤※☯※tlnw※〕
𧖬	〔※󰂶※󰂽※󰄋※󰃕※☯※ghtl※〕
𧖭	〔※󰂾※󰄋※󰃕※󰀘※☯※htlf※〕
𧖮	〔※󰄋※󰃕※󰃊※󰀘※☯※tljf※〕
𧖯	〔※󰂢※󰂿※󰄋※󰃕※☯※dhtl※〕
𧖰	〔※󰄋※󰃕※󰁚※󰂕※☯※tlqb※〕
𧖱	〔※󰄋※󰃕※󰁚※󰂕※☯※tlqb※〕
𧖲	〔※󰄋※󰃕※󰄌※󰁶※☯※tlty※〕
𧖳	〔※󰃜※󰂶※󰃏※󰃕※☯※mgkl※〕
𧖴	〔※󰃼※󰀕※󰄋※󰃕※☯※retl※〕
𧖵	〔※󰄋※󰃕※󰃸※󰁜※☯※tlqq※〕
𧖶	〔※󰃁※󰃱※󰁜※󰃕※☯※ipql※〕
𧖷	〔※󰄋※󰃕※󰄠※󰃢※☯※tlvn※〕
𧖸	〔※󰃒※󰄦※󰀿※󰃕※☯※lwml※〕
𧖹	〔※󰄋※󰃕※󰂶※󰀓※☯※tlge※〕
𧖺	〔※󰂧※󰃱※󰁜※󰃕※☯※epql※〕
𧖻	〔※󰄋※󰃕※󰂇※󰀞※☯※tlag※〕
𧖼	〔※󰄋※󰃕※󰄐※󰃏※☯※tltk※〕
𧖽	〔※󰃊※󰂧※󰄋※󰃕※☯※jetl※〕
𧖾	〔※󰄋※󰃕※󰂒※󰂔※☯※tlbb※〕
𧖿	〔※󰄋※󰃕※󰃊※󰂉※☯※tlja※〕
𧗀	〔※󰄋※󰃕※󰀎※󰄃※☯※tldn※〕
𧗁	〔※󰁬※󰀟※󰂥※󰃕※☯※vgel※〕
𧗂	〔※󰄋※󰃕※󰃐※󰃢※☯※tlln※〕
𧗃	〔※󰂥※󰁬※󰀟※󰃕※☯※evgl※〕
𧗄	〔※󰂋※󰂺※󰁃※󰃕※☯※ahnl※〕
𧗅	〔※󰄋※󰃔※󰂴※󰄅※☯※tlfs※〕
𧗆	〔※󰄖※󰂒※󰀩※󰃕※☯※abil※〕
𧗇	〔※󰄩※󰄩※󰂇※󰃕※☯※xxal※〕
𧗈	〔※󰄋※󰃕※󰂡※󰂳※☯※tldf※〕
𧗉	〔※󰃁※󰄊※󰄋※󰃕※☯※istl※〕
𧗊	〔※󰁬※󰂮※󰃨※󰃕※☯※vfol※〕
𧗋	〔※󰄋※󰃕※󰂙※󰂥※☯※tlce※〕
𧗌	〔※󰄋※󰃕※󰃀※󰀛※☯※tlhf※〕
𧗍	〔※󰄒※󰂷※󰃕※󰃕※☯※ugll※〕
𧗎	〔※󰄖※󰃁※󰂧※󰃕※☯※aiel※〕
𧗏	〔※󰄋※󰃕※󰃏※󰃛※☯※tlkm※〕
𧗐	〔※󰄋※󰃕※󰃦※󰄏※☯※tlnt※〕
𧗑	〔※󰂝※󰄒※󰂰※󰃕※☯※dufl※〕
𧗒	〔※󰄩※󰄩※󰂇※󰃕※☯※xxal※〕
𧗓	〔※󰄩※󰄩※󰂇※󰃕※☯※xxal※〕
𧗔	〔※󰄋※󰃕※󰄥※󰀽※☯※tlwm※〕
𧗕	〔※󰀗※󰄋※󰃒※󰃕※☯※etll※〕
𧗖	〔※󰂡※󰃋※󰀑※󰃕※☯※djel※〕
𧗗	〔※󰄋※󰃕※󰄋※󰀯※☯※tltj※〕
𧗘	〔※󰄖※󰁿※󰂱※󰃕※☯※atfl※〕
𧗙	〔※󰁬※󰂮※󰂼※󰃕※☯※vfhl※〕
𧗚	〔※󰁬※󰂮※󰂶※󰃕※☯※vfgl※〕
𧗛	〔※󰄓※󰃌※󰄐※󰃕※☯※ujtl※〕
𧗜	〔※󰄓※󰃌※󰄐※󰃕※☯※ujtl※〕
𧗝	〔※󰄎※󰄡※󰂶※󰄆※☯※tvgs※〕
𧗞	〔※󰄎※󰄥※󰂶※󰄆※☯※twgs※〕
𧗟	〔※󰄎※󰄤※󰂶※󰄆※☯※twgs※〕
𧗠	〔※󰄎※󰄑※󰂶※󰄆※☯※tugs※〕
𧗡	〔※󰄎※󰂶※󰄥※󰄆※☯※tgws※〕
𧗢	〔※󰄎※󰁼※󰁐※󰄆※☯※tdns※〕
𧗣	〔※󰄎※󰃘※󰂶※󰄆※☯※tmgs※〕
𧗤	〔※󰄎※󰄋※󰁼※󰄆※☯※ttds※〕
𧗥	〔※󰄎※󰂮※󰂶※󰄆※☯※tfgs※〕
𧗦	〔※󰄎※󰂶※󰂉※󰄆※☯※tgas※〕
𧗧	〔※󰄎※󰃊※󰂶※󰄆※☯※tjgs※〕
𧗨	〔※󰄎※󰀄※󰁜※󰄆※☯※taqs※〕
𧗩	〔※󰂢※󰂿※󰄎※󰄆※☯※dhts※〕
𧗪	〔※󰄎※󰂶※󰂾※󰄆※☯※tghs※〕
𧗫	〔※󰄌※󰄄※󰁼※󰄆※☯※trds※〕
𧗬	〔※󰄎※󰃘※󰂶※󰄆※☯※tmgs※〕
𧗭	〔※󰄎※󰂜※󰂔※󰄆※☯※tdbs※〕
𧗮	〔※󰄎※󰁆※󰃏※󰄆※☯※tnks※〕
𧗯	〔※󰄎※󰃆※󰂶※󰄆※☯※tigs※〕
𧗰	〔※󰄎※󰃅※󰂝※󰄆※☯※tids※〕
𧗱	〔※󰄎※󰃪※󰂶※󰄆※☯※togs※〕
𧗲	〔※󰄎※󰃘※󰂷※󰄆※☯※tmgs※〕
𧗳	〔※󰄎※󰄳※󰂶※󰄆※☯※tygs※〕
𧗴	〔※󰄎※󰁻※󰀒※󰄆※☯※tces※〕
𧗵	〔※󰄎※󰄶※󰄩※󰄆※☯※tyxs※〕
𧗶	〔※󰄎※󰄔※󰂶※󰄆※☯※tugs※〕
𧗷	〔※󰄎※󰂶※󰃄※󰄆※☯※tgis※〕
𧗸	〔※󰄎※󰂇※󰂇※󰄆※☯※taas※〕
𧗹	〔※󰄎※󰄓※󰃋※󰄆※☯※tujs※〕
𧗺	〔※󰄎※󰄦※󰂙※󰄆※☯※twcs※〕
𧗻	〔※󰄎※󰃸※󰂋※󰄆※☯※tqas※〕
𧗼	〔※󰄎※󰃘※󰄩※󰄆※☯※tmxs※〕
𧗽	〔※󰄎※󰃸※󰀿※󰄆※☯※tqms※〕
𧗾	〔※󰄎※󰃸※󰀒※󰄆※☯※tqes※〕
𧗿	〔※󰄎※󰄶※󰄩※󰄆※☯※tyxs※〕
𧘀	〔※󰄎※󰄞※󰃊※󰄆※☯※tvjs※〕
𧘁	〔※󰄎※󰃊※󰃘※󰄆※☯※tjms※〕
𧘂	〔※󰄎※󰄓※󰃋※󰄆※☯※tujs※〕
𧘃	〔※󰄎※󰃔※󰃛※󰄆※☯※tlms※〕
𧘄	〔※󰄎※󰄞※󰂢※󰄆※☯※tvds※〕
𧘅	〔※󰄎※󰂯※󰃔※󰄆※☯※tfls※〕
𧘆	〔※󰄎※󰂼※󰂼※󰄆※☯※thhs※〕
𧘇	〔※󰀔※󰄋※󰁐※󰂃※☯※etny※〕
𧘈	〔※󰃳※󰁧※󰂒※󰀢※☯※pubh※〕
𧘉	〔※󰄶※󰀔※󰃜※󰀅※☯※yemb※〕
𧘊	〔※󰄶※󰀔※󰄨※󰀅※☯※yewb※〕
𧘋	〔※󰃳※󰁧※󰄦※󰁶※☯※puwy※〕
𧘌	〔※󰃳※󰁧※󰂖※󰁥※☯※pubt※〕
𧘍	〔※󰃳※󰁧※󰂆※󰀝※☯※puag※〕
𧘎	〔※󰄶※󰂭※󰁔※󰀔※☯※yfne※〕
𧘏	〔※󰃳※󰁧※󰄬※󰁀※☯※puxn※〕
𧘐	〔※󰃳※󰁧※󰄋※󰂌※☯※puta※〕
𧘑	〔※󰃳※󰁧※󰃷※󰄼※☯※puqy※〕
𧘒	〔※󰃳※󰁧※󰂶※󰄦※☯※pugw※〕
𧘓	〔※󰃳※󰁧※󰁼※󰂃※☯※pudy※〕
𧘔	〔※󰃳※󰁧※󰂶※󰂿※☯※pugh※〕
𧘕	〔※󰃳※󰁧※󰂽※󰀝※☯※puhg※〕
𧘖	〔※󰃳※󰁧※󰄠※󰄲※☯※puvy※〕
𧘗	〔※󰃏※󰄶※󰀔※󰁧※☯※kyeu※〕
𧘘	〔※󰄶※󰂶※󰀛※󰀔※☯※ygfe※〕
𧘙	〔※󰄶※󰂶※󰄦※󰀔※☯※ygwe※〕
𧘚	〔※󰃳※󰁧※󰂭※󰁔※☯※pufn※〕
𧘛	〔※󰃳※󰁧※󰂶※󰁲※☯※pugx※〕
𧘜	〔※󰃳※󰁧※󰄋※󰂱※☯※putf※〕
𧘝	〔※󰄶※󰂬※󰀔※󰁧※☯※yeeu※〕
𧘞	〔※󰃳※󰁧※󰁦※󰂱※☯※puuf※〕
𧘟	〔※󰃳※󰁧※󰂶※󰂺※☯※pugh※〕
𧘠	〔※󰄘※󰄠※󰀔※󰁧※☯※uveu※〕
𧘡	〔※󰃳※󰁧※󰃅※󰄋※☯※puit※〕
𧘢	〔※󰃳※󰁧※󰂶※󰄰※☯※pugx※〕
𧘣	〔※󰃳※󰁧※󰄨※󰂘※☯※puwc※〕
𧘤	〔※󰃳※󰁧※󰃷※󰂙※☯※puqc※〕
𧘥	〔※󰃳※󰁧※󰂁※󰂶※☯※pung※〕
𧘦	〔※󰄶※󰂷※󰀔※󰁧※☯※ygeu※〕
𧘧	〔※󰃳※󰁧※󰄋※󰁔※☯※putn※〕
𧘨	〔※󰄶※󰄬※󰂺※󰀔※☯※yxhe※〕
𧘩	〔※󰄸※󰄶※󰀔※󰁧※☯※yyeu※〕
𧘪	〔※󰃳※󰁧※󰀄※󰄋※☯※puat※〕
𧘭	〔※󰄶※󰄤※󰄼※󰀔※☯※ywye※〕
𧘮	〔※󰄶※󰄄※󰂔※󰀔※☯※yrbe※〕
𧘯	〔※󰄶※󰀔※󰂧※󰀘※☯※yeef※〕
𧘰	〔※󰄋※󰁽※󰀔※󰁧※☯※tgeu※〕
𧘱	〔※󰃳※󰁧※󰁴※󰄮※☯※puxx※〕
𧘲	〔※󰃳※󰁧※󰂾※󰀝※☯※puhg※〕
𧘳	〔※󰄘※󰄦※󰀔※󰁧※☯※uweu※〕
𧘴	〔※󰂶※󰃜※󰂺※󰀔※☯※gmhe※〕
𧘵	〔※󰃳※󰁧※󰁼※󰄼※☯※pudy※〕
𧘶	〔※󰃳※󰁧※󰄏※󰁶※☯※puty※〕
𧘷	〔※󰃳※󰁧※󰃼※󰂃※☯※pury※〕
𧘸	〔※󰃳※󰁧※󰂶※󰄻※☯※pugn※〕
𧘹	〔※󰃳※󰁧※󰂝※󰄼※☯※pudy※〕
𧘺	〔※󰃳※󰁧※󰁰※󰂘※☯※puwc※〕
𧘻	〔※󰃳※󰁧※󰄀※󰀢※☯※purh※〕
𧘼	〔※󰄶※󰀱※󰀔※󰁧※☯※yjeu※〕
𧘽	〔※󰄟※󰂘※󰄶※󰀔※☯※vcye※〕
𧘾	〔※󰃳※󰁧※󰂶※󰀔※☯※puge※〕
𧘿	〔※󰃳※󰁧※󰂶※󰂾※☯※pugh※〕
𧙀	〔※󰃳※󰁧※󰄓※󰀝※☯※puug※〕
𧙁	〔※󰂾※󰄮※󰄶※󰀔※☯※hxye※〕
𧙂	〔※󰃳※󰁧※󰄬※󰀯※☯※puxj※〕
𧙃	〔※󰄶※󰄆※󰃏※󰀔※☯※yske※〕
𧙄	〔※󰃳※󰁧※󰄅※󰂶※☯※pusg※〕
𧙅	〔※󰃳※󰁧※󰂋※󰃏※☯※puak※〕
𧙆	〔※󰃳※󰁧※󰃼※󰂃※☯※pury※〕
𧙇	〔※󰃳※󰁧※󰃰※󰃺※☯※pupq※〕
𧙈	〔※󰃳※󰁧※󰂁※󰃏※☯※punk※〕
𧙉	〔※󰄶※󰂔※󰃘※󰀔※☯※ybme※〕
𧙊	〔※󰃳※󰁧※󰃒※󰁃※☯※puln※〕
𧙋	〔※󰃳※󰁧※󰃏※󰄦※☯※pukw※〕
𧙌	〔※󰄶※󰀔※󰃷※󰃠※☯※yeqn※〕
𧙍	〔※󰄋※󰂹※󰄶※󰀔※☯※tgye※〕
𧙎	〔※󰄶※󰃷※󰃏※󰀔※☯※yqke※〕
𧙏	〔※󰄶※󰃙※󰀔※󰁧※☯※ymeu※〕
𧙐	〔※󰂝※󰂱※󰄶※󰀔※☯※dfye※〕
𧙑	〔※󰄆※󰃏※󰄶※󰀔※☯※skye※〕
𧙒	〔※󰃳※󰁧※󰂭※󰂉※☯※pufa※〕
𧙓	〔※󰃳※󰁧※󰁿※󰂭※☯※putf※〕
𧙔	〔※󰃳※󰁧※󰂘※󰂮※☯※pucf※〕
𧙕	〔※󰃳※󰁧※󰂵※󰁶※☯※pufy※〕
𧙖	〔※󰃳※󰁧※󰂟※󰀝※☯※pudg※〕
𧙗	〔※󰃳※󰁧※󰁼※󰃏※☯※pudk※〕
𧙘	〔※󰃷※󰃠※󰄶※󰀔※☯※qnye※〕
𧙙	〔※󰄶※󰃜※󰂺※󰀔※☯※ymhe※〕
𧙚	〔※󰄶※󰀔※󰂨※󰀭※☯※yeej※〕
𧙛	〔※󰃳※󰁧※󰁼※󰂺※☯※pudh※〕
𧙜	〔※󰄛※󰄶※󰀔※󰀦※☯※uyei※〕
𧙝	〔※󰃳※󰁧※󰄀※󰄼※☯※pury※〕
𧙞	〔※󰃳※󰁧※󰄅※󰃜※☯※pusm※〕
𧙟	〔※󰃳※󰁧※󰃋※󰄋※☯※pujt※〕
𧙠	〔※󰃳※󰁧※󰂤※󰄼※☯※pudy※〕
𧙡	〔※󰃳※󰁧※󰄶※󰁖※☯※puyo※〕
𧙢	〔※󰃳※󰁧※󰀁※󰄼※☯※puay※〕
𧙣	〔※󰃳※󰁧※󰂶※󰄤※☯※pugw※〕
𧙤	〔※󰃳※󰁧※󰂖※󰄅※☯※pubs※〕
𧙥	〔※󰃳※󰁧※󰃜※󰃏※☯※pumk※〕
𧙦	〔※󰄶※󰂔※󰃘※󰀔※☯※ybme※〕
𧙧	〔※󰃳※󰁧※󰂶※󰂰※☯※pugf※〕
𧙩	〔※󰄶※󰂶※󰃹※󰀔※☯※ygqe※〕
𧙪	〔※󰄶※󰃒※󰃏※󰀔※☯※ylke※〕
𧙫	〔※󰃳※󰁧※󰂐※󰀝※☯※pubg※〕
𧙬	〔※󰄶※󰀱※󰄶※󰀔※☯※yjye※〕
𧙭	〔※󰄬※󰄬※󰄶※󰀔※☯※xxye※〕
𧙮	〔※󰃳※󰁧※󰄕※󰃉※☯※puuj※〕
𧙯	〔※󰄒※󰂹※󰄶※󰀔※☯※ugye※〕
𧙰	〔※󰄶※󰂆※󰄦※󰀔※☯※yawe※〕
𧙱	〔※󰃳※󰁧※󰁰※󰂺※☯※puwh※〕
𧙲	〔※󰃳※󰁧※󰂮※󰁔※☯※pufn※〕
𧙳	〔※󰄤※󰂶※󰃏※󰀔※☯※wgke※〕
𧙴	〔※󰄶※󰃋※󰄶※󰀔※☯※yjye※〕
𧙵	〔※󰄶※󰂔※󰂺※󰀔※☯※ybhe※〕
𧙶	〔※󰃰※󰂶※󰀛※󰀔※☯※pgfe※〕
